title,desc,title+desc,area
selective collection project - expansion,"because it is classified as the 12th most populous city in the state of são paulo, são josé do rio preto faces one of the serious problems common to all municipalities, which concerns the recyclable materials discarded every day with the collected waste. each inhabitant produces on average approximately 0.920 kilos of waste per day. approximately 30% of the total is recovered by the company that performs the collection and sorting, being 12% equivalent to organic material transformed into organic compound and 18% recyclable materials. the municipality decided to seek alternative ways to achieve a significant increase in the recovery of materials that were dispensed in the common waste, having the present selective collection action, focus on dissemination and training of techniques of good sustainable practices, being a continuous action, which seeks each year to develop improvements in the action, improving what is already implemented. in view of the need of the municipality to increase the collection rate of recyclable materials, the selective collection was implemented being carried out by two waste pickers: cooperlagos - social cooperative of selective collection, processing and transformation of recyclable materials; and ares - riopretense association of education and health.the main objective of the program is to promote awareness of selective collection in the population, integrating the work of the cooperative cooperlagos and the ares association, which together guide residents on the correct storage of these materials. the actions are developed by the municipal department of environment and urbanism and municipal labor department, in partnership with the departments of health and social assistance. these secretariats are part of the municipal selective collection program of the municipality of são josé do rio preto, which has a technical staff of the departments of labor and environment, which define the collection areas. the health department also participates in the process of orientation and awareness of the population through community health agents, which has increased the participation of citizens to the program due to the bond between them. another assignment is to participate in the technical coordination of selective collection, assisting in the delimitation of the collection basins, in line with the areas of coverage of health units.the secretariat of social assistance has a very important role in the inclusion of cooperative members and associates through indications of the social assistance network and forwarded by the entities to special care and families in a situation of vulnerability. this selective collection work serves approximately 30% of the municipality area and, in relation to the total municipal solid waste collected, ranges from 1% to 2%, evolving over the years. approximately 95% of the materials collected by the associations are marketed for recycling. the remaining 5% that make up the tailings, are destined to the landfill that meets the urban cleaning of the municipality, belonging to third parties. citizens can consult information and explanations, through the link https://www.riopreto.sp.gov.br/meio environment / where you will find the option ""selective collection"". for the expansion of the project, aiming at the service of the entire municipality with selective collection, there is the need to purchase 10 trucks 3/4 with open body dry load, wood / steel with minimum length of 6 (six) meters, equipped with cage, total gross weight minimum 8,500kg, maximum minimum traction capacity 11,000 kg.*the values presented have as reference budgets received in august 2021 during the purchase process.","selective collection project - expansion. because it is classified as the 12th most populous city in the state of são paulo, são josé do rio preto faces one of the serious problems common to all municipalities, which concerns the recyclable materials discarded every day with the collected waste. each inhabitant produces on average approximately 0.920 kilos of waste per day. approximately 30% of the total is recovered by the company that performs the collection and sorting, being 12% equivalent to organic material transformed into organic compound and 18% recyclable materials. the municipality decided to seek alternative ways to achieve a significant increase in the recovery of materials that were dispensed in the common waste, having the present selective collection action, focus on dissemination and training of techniques of good sustainable practices, being a continuous action, which seeks each year to develop improvements in the action, improving what is already implemented. in view of the need of the municipality to increase the collection rate of recyclable materials, the selective collection was implemented being carried out by two waste pickers: cooperlagos - social cooperative of selective collection, processing and transformation of recyclable materials; and ares - riopretense association of education and health.the main objective of the program is to promote awareness of selective collection in the population, integrating the work of the cooperative cooperlagos and the ares association, which together guide residents on the correct storage of these materials. the actions are developed by the municipal department of environment and urbanism and municipal labor department, in partnership with the departments of health and social assistance. these secretariats are part of the municipal selective collection program of the municipality of são josé do rio preto, which has a technical staff of the departments of labor and environment, which define the collection areas. the health department also participates in the process of orientation and awareness of the population through community health agents, which has increased the participation of citizens to the program due to the bond between them. another assignment is to participate in the technical coordination of selective collection, assisting in the delimitation of the collection basins, in line with the areas of coverage of health units.the secretariat of social assistance has a very important role in the inclusion of cooperative members and associates through indications of the social assistance network and forwarded by the entities to special care and families in a situation of vulnerability. this selective collection work serves approximately 30% of the municipality area and, in relation to the total municipal solid waste collected, ranges from 1% to 2%, evolving over the years. approximately 95% of the materials collected by the associations are marketed for recycling. the remaining 5% that make up the tailings, are destined to the landfill that meets the urban cleaning of the municipality, belonging to third parties. citizens can consult information and explanations, through the link https://www.riopreto.sp.gov.br/meio environment / where you will find the option ""selective collection"". for the expansion of the project, aiming at the service of the entire municipality with selective collection, there is the need to purchase 10 trucks 3/4 with open body dry load, wood / steel with minimum length of 6 (six) meters, equipped with cage, total gross weight minimum 8,500kg, maximum minimum traction capacity 11,000 kg.*the values presented have as reference budgets received in august 2021 during the purchase process.",waste management
expansion of the drainage and sewage network of the municipality,the state through its concessionaire has been expanding the sewage network of the municipality of aracaju. the municipality has also been working on the expansion of its drainage network and stormwater runoff.,expansion of the drainage and sewage network of the municipality. the state through its concessionaire has been expanding the sewage network of the municipality of aracaju. the municipality has also been working on the expansion of its drainage network and stormwater runoff.,water management
urban mobility of aracaju,support to projects and actions to improve and expand the road network encouraging the use of more efficient mass transit.,urban mobility of aracaju. support to projects and actions to improve and expand the road network encouraging the use of more efficient mass transit.,transport
alto araguaia basin revitalization program - pilot project municipality of barra do garças/mt,"the program for revitalization of the alto araguaia tributary basin has as its general objective to combat the process of degradation of natural resources by increasing water supply and water quality, initially through the development of a pilot project to revitalize a sub-basin in the municipality of barra do garças-mt. then, in possession of this result and experience, a feasible and replicable plan will be presented to the other municipalities of the basin.thus the program proposes a reference methodology of diagnosis from the survey of critical areas indicated for the environmental recovery of the upper araguaia basin on a semi-detailed scale. in the municipality of barra do garças/mt, the diagnosis will be carried out on a detailed scale, for the most reliable location and characterization of these environments that need intervention/restoration process leading to the choice of the pilot sub-basin. the partnerships will take place through a voluntary agreement, i.e. family farmers who will receive the investments will commit to using techniques and sustainable pasture management for which they will be trained. during the execution of the pilot project, the results obtained will be disclosed to the degraded dbacias farmers of other municipalities of the upper araguaia basin, promoting the discussion for replication of these experiences, making the activity, in addition to being environmentally sustainable, economically attractive and financially feasible.","alto araguaia basin revitalization program - pilot project municipality of barra do garças/mt. the program for revitalization of the alto araguaia tributary basin has as its general objective to combat the process of degradation of natural resources by increasing water supply and water quality, initially through the development of a pilot project to revitalize a sub-basin in the municipality of barra do garças-mt. then, in possession of this result and experience, a feasible and replicable plan will be presented to the other municipalities of the basin.thus the program proposes a reference methodology of diagnosis from the survey of critical areas indicated for the environmental recovery of the upper araguaia basin on a semi-detailed scale. in the municipality of barra do garças/mt, the diagnosis will be carried out on a detailed scale, for the most reliable location and characterization of these environments that need intervention/restoration process leading to the choice of the pilot sub-basin. the partnerships will take place through a voluntary agreement, i.e. family farmers who will receive the investments will commit to using techniques and sustainable pasture management for which they will be trained. during the execution of the pilot project, the results obtained will be disclosed to the degraded dbacias farmers of other municipalities of the upper araguaia basin, promoting the discussion for replication of these experiences, making the activity, in addition to being environmentally sustainable, economically attractive and financially feasible.",water management
paradise of the waters program,"the paradise of water program is structured by the municipal tourism department based on the municipal tourism plan, focusing on the strategic axis of planning and managing tourism with the objectives of creating and strengthening new products and tourism services of the private initiative. in 2018, rural owners who have natural attractions of tourist potential were gathered in their properties, in order to identify the difficulties for implementing a tourist product. in 2019, the araguaia tourism forum was held where the program's outline was presented to the target audience. there was a broad acceptance that led to the creation of the paradise of waters program by municipal decree no. 4,197 of september 23, 2019. the program consists of 12 steps, summarized in: mapping, formalization, tourist diagnosis, safety diagnosis and prevention, environmental licensing, architectural and engineering design, planning, financing (if necessary), implementation, training, promotion and monitoring.","paradise of the waters program. the paradise of water program is structured by the municipal tourism department based on the municipal tourism plan, focusing on the strategic axis of planning and managing tourism with the objectives of creating and strengthening new products and tourism services of the private initiative. in 2018, rural owners who have natural attractions of tourist potential were gathered in their properties, in order to identify the difficulties for implementing a tourist product. in 2019, the araguaia tourism forum was held where the program's outline was presented to the target audience. there was a broad acceptance that led to the creation of the paradise of waters program by municipal decree no. 4,197 of september 23, 2019. the program consists of 12 steps, summarized in: mapping, formalization, tourist diagnosis, safety diagnosis and prevention, environmental licensing, architectural and engineering design, planning, financing (if necessary), implementation, training, promotion and monitoring.",water management
murutucu environmental park,creation of a protected area in the center of endemism of belém.,murutucu environmental park. creation of a protected area in the center of endemism of belém.,public and green spaces
horta municipal - cultivating health and knowledge project,"the project was prepared by the department of agriculture in partnership with the departments of education and health, with the aim of establishing in the largest municipal school a public space, that is, a vegetable garden in the school for the production of fruits, vegetables, vegetables and herbs medicines that could be used in the lunch of the entire municipal school system. in this environment, in addition to being produced food with quality and free of pesticides, it is used by all teachers of the teaching network as a teaching environment, since students have contact with food production and through this are led to learn subjects such as science, portuguese, mathematics and etc. in addition, with the participation of the nutritionist of the education network, every menu is adapted and based on the needs of students and vegetables, vegetables and fruits are produced according to the need and the time of year. moreover, when the surplus of production is produced, food is destined to families in situations of social vulnerability.","horta municipal - cultivating health and knowledge project. the project was prepared by the department of agriculture in partnership with the departments of education and health, with the aim of establishing in the largest municipal school a public space, that is, a vegetable garden in the school for the production of fruits, vegetables, vegetables and herbs medicines that could be used in the lunch of the entire municipal school system. in this environment, in addition to being produced food with quality and free of pesticides, it is used by all teachers of the teaching network as a teaching environment, since students have contact with food production and through this are led to learn subjects such as science, portuguese, mathematics and etc. in addition, with the participation of the nutritionist of the education network, every menu is adapted and based on the needs of students and vegetables, vegetables and fruits are produced according to the need and the time of year. moreover, when the surplus of production is produced, food is destined to families in situations of social vulnerability.",public and green spaces
solar energy,"currently, the energy expenses of the municipality of campo grande are close to 18 million reais. in order to reduce costs and use clean energy for the performance of its activities, the city began a study to evaluate the feasibility of implanting a photovoltaic park. the project is in the process of surveying the consumption of the 564 consumer units of the city to prepare a preliminary technical study.","solar energy. currently, the energy expenses of the municipality of campo grande are close to 18 million reais. in order to reduce costs and use clean energy for the performance of its activities, the city began a study to evaluate the feasibility of implanting a photovoltaic park. the project is in the process of surveying the consumption of the 564 consumer units of the city to prepare a preliminary technical study.",renewable energy
adoption of public spaces - private public partnership,"promote the participation of organized civil society and legal entities in the urbanization, care and maintenance of public spaces, such as squares, parks, green areas of the municipality of caucaia, together with the municipal government - shared management of the city","adoption of public spaces - private public partnership. promote the participation of organized civil society and legal entities in the urbanization, care and maintenance of public spaces, such as squares, parks, green areas of the municipality of caucaia, together with the municipal government - shared management of the city",public and green spaces
sustainable cordeirópolis,"the municipality of cordeirópolis, seeks alternatives for the supply of electricity aiming at reducing the commitment of public resources with expenses of this nature, and expanding actions in search of environmental sustainability, reinforcing the policy of commitment to the environment of public administration.","sustainable cordeirópolis. the municipality of cordeirópolis, seeks alternatives for the supply of electricity aiming at reducing the commitment of public resources with expenses of this nature, and expanding actions in search of environmental sustainability, reinforcing the policy of commitment to the environment of public administration.",renewable energy
water conservator,"the conservative water project, created by municipal law no. 2,100/2005, consists of carrying out the planimetric survey of rural properties, indicating their current situation and what will be the proposed goals for the site. the municipal department of environment is responsible for developing such projects defining the actions that should be implemented and the goals to be achieved, depending on the characteristics of the property. the main objectives are: (1) to promote municipal actions to support the social, economic and environmental sustainability of the management and practices implemented, through financial incentives to owners funded by payment for environmental services (psa); (2) reduce the levels of diffuse rural pollution due to sedimentation and eutrophication processes and lack of environmental sanitation; (3) disseminate the concept of integrated forest, soil and water management in the jaguari river hydrographic basin; and (4) increase forest cover in river sub-basins and implement ecological microcorridors. the expertise accumulated with the project since 2005 allowed the advance of environmental adequacy actions of rural properties for the implementation of a municipal system of conservation units - smuc, maintaining the psa as an economic instrument to achieve the goal. municipal decree no. 2,887/2015 establishes environmental conservation areas as priorities for the creation of conservation units (uc), corresponding to 8,125 hectares, 33% of the area of the municipality of extrema. the proposal is to transform these areas into a mosaic of uc, consisting of private reserves of natural heritage (rppn) with psa and the municipal natural park (pnm).","water conservator. the conservative water project, created by municipal law no. 2,100/2005, consists of carrying out the planimetric survey of rural properties, indicating their current situation and what will be the proposed goals for the site. the municipal department of environment is responsible for developing such projects defining the actions that should be implemented and the goals to be achieved, depending on the characteristics of the property. the main objectives are: (1) to promote municipal actions to support the social, economic and environmental sustainability of the management and practices implemented, through financial incentives to owners funded by payment for environmental services (psa); (2) reduce the levels of diffuse rural pollution due to sedimentation and eutrophication processes and lack of environmental sanitation; (3) disseminate the concept of integrated forest, soil and water management in the jaguari river hydrographic basin; and (4) increase forest cover in river sub-basins and implement ecological microcorridors. the expertise accumulated with the project since 2005 allowed the advance of environmental adequacy actions of rural properties for the implementation of a municipal system of conservation units - smuc, maintaining the psa as an economic instrument to achieve the goal. municipal decree no. 2,887/2015 establishes environmental conservation areas as priorities for the creation of conservation units (uc), corresponding to 8,125 hectares, 33% of the area of the municipality of extrema. the proposal is to transform these areas into a mosaic of uc, consisting of private reserves of natural heritage (rppn) with psa and the municipal natural park (pnm).",water management
extreme no climate,"the extreme climate programme was conceived in 2018, including the conservative water project. in addition to contributing to the carbon fixation in the search for neutral climate, the initiative contributes to an increase in the quantity and quality of water resources that supply not only extreme, but also the cantareira system, responsible for supplying the metropolitan region of são paulo, the largest city in south america and which experienced the worst water crisis during 2014 and 2015.com the creation of the climate change policy,  extrema carried out the approximation of the commercial and industrial sectors to the initiatives of forest restoration and carbon fixation carried out by the government. thus, in 2018 the program began the implementation of the incorporation of the impacts of greenhouse gas emissions in the municipal environmental licensing processes of potentially polluting enterprises and activities, through environmental compensation linked to the municipal fund for payment for environmental services (fmpsa), aimed at forest restoration and neutralization of carbon emissions. to date, the program has the support of 178 companies, from the industrial and trade sectors, with the total neutralization of 17.4% of their emissions, referring to the period 2017 to 2021, which represents 140,292 hectares of forest restoration. regarding the base year 2021, 11,877,595 tco2e were compensated, and 37,118 hectares were restored with the planting of native vegetation of the atlantic forest biome.","extreme no climate. the extreme climate programme was conceived in 2018, including the conservative water project. in addition to contributing to the carbon fixation in the search for neutral climate, the initiative contributes to an increase in the quantity and quality of water resources that supply not only extreme, but also the cantareira system, responsible for supplying the metropolitan region of são paulo, the largest city in south america and which experienced the worst water crisis during 2014 and 2015.com the creation of the climate change policy,  extrema carried out the approximation of the commercial and industrial sectors to the initiatives of forest restoration and carbon fixation carried out by the government. thus, in 2018 the program began the implementation of the incorporation of the impacts of greenhouse gas emissions in the municipal environmental licensing processes of potentially polluting enterprises and activities, through environmental compensation linked to the municipal fund for payment for environmental services (fmpsa), aimed at forest restoration and neutralization of carbon emissions. to date, the program has the support of 178 companies, from the industrial and trade sectors, with the total neutralization of 17.4% of their emissions, referring to the period 2017 to 2021, which represents 140,292 hectares of forest restoration. regarding the base year 2021, 11,877,595 tco2e were compensated, and 37,118 hectares were restored with the planting of native vegetation of the atlantic forest biome.",public and green spaces
thermochemical power plant - utge extrema,"with the proximity of the closure of the life of the municipal landfill, the municipality of extrema is in the transition phase to a new solution for the disposal of municipal solid waste, cleaner and efficient, which envisions the energy use of waste, through a thermochemical power plant (utge), for gasification of waste and conversion into electricity. the plant will be powered by waste derived fuel (cdr). the main advantages of utge are the reduction of the need for a final waste disposal area (in relation to a landfill), the elimination of risks of environmental contamination of soil, water and air, the energy use of waste, with the generation of an economic asset, in addition to the reduction of greenhouse gas emissions,  contributing to the municipal policy to combat changes climáticas.as works of the first phase of the plant, referring to the earthworks and construction of the shed of the waste-derived fuel processing line (cdr), were completed in 2021. the second phase will be the acquisition and installation of cdr line equipment, followed by the installation of the aerator and electrical generation facilities, through a public-private partnership.","thermochemical power plant - utge extrema. with the proximity of the closure of the life of the municipal landfill, the municipality of extrema is in the transition phase to a new solution for the disposal of municipal solid waste, cleaner and efficient, which envisions the energy use of waste, through a thermochemical power plant (utge), for gasification of waste and conversion into electricity. the plant will be powered by waste derived fuel (cdr). the main advantages of utge are the reduction of the need for a final waste disposal area (in relation to a landfill), the elimination of risks of environmental contamination of soil, water and air, the energy use of waste, with the generation of an economic asset, in addition to the reduction of greenhouse gas emissions,  contributing to the municipal policy to combat changes climáticas.as works of the first phase of the plant, referring to the earthworks and construction of the shed of the waste-derived fuel processing line (cdr), were completed in 2021. the second phase will be the acquisition and installation of cdr line equipment, followed by the installation of the aerator and electrical generation facilities, through a public-private partnership.",renewable energy
energy use of methane gas from municipal waste dump,use the gas from the current municipal dump that will be deactivated to meet the demands of institutions and public agencies of the municipality.,energy use of methane gas from municipal waste dump. use the gas from the current municipal dump that will be deactivated to meet the demands of institutions and public agencies of the municipality.,energy efficiency
"acquisition of kit: biodigester and fat box to be implanted in rural communities: prata, corrente canoa, cachoeira das pombas and farias. guanhães - mg","acquisition of 175 kits containing: a biodigester and a fat box to deploy in the following communities located in the rural area of guanhães: prata, corrente canoa, cachoeira das pombas and farias. "" mg. the project was drafted to claim to be pre-approved in the state parliamentary amendment of the year 2021. the project was approved however as we did not request the execution of the service and the pipes only the equipment, the municipality will have to bear the pipes and execution of the implementation of the equipment.  attached is the elaborate text of how we intend to deploy the system. for the execution of the project we will need financial support to buy materials that are not embedded in the approved value (340,000.00).","acquisition of kit: biodigester and fat box to be implanted in rural communities: prata, corrente canoa, cachoeira das pombas and farias. guanhães - mg. acquisition of 175 kits containing: a biodigester and a fat box to deploy in the following communities located in the rural area of guanhães: prata, corrente canoa, cachoeira das pombas and farias. "" mg. the project was drafted to claim to be pre-approved in the state parliamentary amendment of the year 2021. the project was approved however as we did not request the execution of the service and the pipes only the equipment, the municipality will have to bear the pipes and execution of the implementation of the equipment.  attached is the elaborate text of how we intend to deploy the system. for the execution of the project we will need financial support to buy materials that are not embedded in the approved value (340,000.00).",water management
urban solid waste compactor truck,project registered at funasa in 2019 requesting 2 compactor trucks. the municipality acquired with its own resources a compactor truck since the fleet it used was very deteriorated (there was only one compactor truck serving the headquarters and rural districts and rural communities that also lived broken and the municipality used a bucket truck because only the compactor could not meet. the application has been under review since january/2020.,urban solid waste compactor truck. project registered at funasa in 2019 requesting 2 compactor trucks. the municipality acquired with its own resources a compactor truck since the fleet it used was very deteriorated (there was only one compactor truck serving the headquarters and rural districts and rural communities that also lived broken and the municipality used a bucket truck because only the compactor could not meet. the application has been under review since january/2020.,waste management
landfill implementation,"acquisition of new area, project design, landfill implementation. the municipal controlled landfill is saturated, and is becoming a dump, and the municipality needs to improve its waste management. one of the alternatives would be the implementation of a landfill. however, the municipality does not have financial resources or specialized technical staff to set up the landfill.","landfill implementation. acquisition of new area, project design, landfill implementation. the municipal controlled landfill is saturated, and is becoming a dump, and the municipality needs to improve its waste management. one of the alternatives would be the implementation of a landfill. however, the municipality does not have financial resources or specialized technical staff to set up the landfill.",waste management
spring recovery project,"the spring recovery project combines the conservation of water resources with the protection of biodiversity through an innovative institutional structure.  it is necessary to implement the project, to offset carbon emissions or reduce the water footprint. the secretariat has a register of rural producers interested in participating in the spring recovery project.","spring recovery project. the spring recovery project combines the conservation of water resources with the protection of biodiversity through an innovative institutional structure.  it is necessary to implement the project, to offset carbon emissions or reduce the water footprint. the secretariat has a register of rural producers interested in participating in the spring recovery project.",water management
selective collection in the urban zone of the municipality of itapipoca,"city hall, through the institute of environment of the municipality of itapipoca - immi, see carrying out several projects related to the management and management of solid waste in the municipality, such as:1. selective collection at the school – a partnership was made with e.e.b.sebastião malaquias do santos, in the locality of tabocal, with the objective of creating environmental awareness in the students. in this project, immi installed collectors in the school in question, held a lecture on environmental education and received the waste from it in its screening center, having used only own resources for this. the project started on november 21, 2018 and has a 2-year term.2. soap production workshops – immi, in partnership with large generators of residual vegetable oils and fats, collects this matter, preventing it from contaminating the environment, and conducting soap production workshops in communities of the municipality. this project started in october 2017 and has no date to finalize. the resources used in the actions are the institute's own resources.3. selective collection as a promotion for the living pharmacy program – also carried out by this institute the collection and disposal of recyclable waste of large generators, as well as the disposal of organic waste to compost, and beneficiation of the medicinal seedling beds present in the pharmacy viva doimmi. the resources used in the actions are the institute's own resources. the project started in 2017 and has no date to close, its partnership terms have validity of 01 year.4. pallet reuse program - through partnerships with commercial establishments of the municipality, the project aims to reuse the wood present in pallets for the protection of seedlings recently planted in the city, through the production of grids, in order to minimize the environmental impacts caused by the improper disposal of these materials and encourage sustainable actions in the municipality. the project started in april 2018 and is ongoing. the resources used for this purpose are own.","selective collection in the urban zone of the municipality of itapipoca. city hall, through the institute of environment of the municipality of itapipoca - immi, see carrying out several projects related to the management and management of solid waste in the municipality, such as:1. selective collection at the school – a partnership was made with e.e.b.sebastião malaquias do santos, in the locality of tabocal, with the objective of creating environmental awareness in the students. in this project, immi installed collectors in the school in question, held a lecture on environmental education and received the waste from it in its screening center, having used only own resources for this. the project started on november 21, 2018 and has a 2-year term.2. soap production workshops – immi, in partnership with large generators of residual vegetable oils and fats, collects this matter, preventing it from contaminating the environment, and conducting soap production workshops in communities of the municipality. this project started in october 2017 and has no date to finalize. the resources used in the actions are the institute's own resources.3. selective collection as a promotion for the living pharmacy program – also carried out by this institute the collection and disposal of recyclable waste of large generators, as well as the disposal of organic waste to compost, and beneficiation of the medicinal seedling beds present in the pharmacy viva doimmi. the resources used in the actions are the institute's own resources. the project started in 2017 and has no date to close, its partnership terms have validity of 01 year.4. pallet reuse program - through partnerships with commercial establishments of the municipality, the project aims to reuse the wood present in pallets for the protection of seedlings recently planted in the city, through the production of grids, in order to minimize the environmental impacts caused by the improper disposal of these materials and encourage sustainable actions in the municipality. the project started in april 2018 and is ongoing. the resources used for this purpose are own.",waste management
protection and recovery of eyes water and springs of serra de itapipoca,recover and protect the vegetation and ecological functions of the apps of springs and olhosd'água of the serra of the municipality of itapipoca.,protection and recovery of eyes water and springs of serra de itapipoca. recover and protect the vegetation and ecological functions of the apps of springs and olhosd'água of the serra of the municipality of itapipoca.,water management
environmental responsibility at school,"the environmental responsibility project at the school has as target audience elementary school students, who will benefit from environmental education actions, selective collection and school garden.","environmental responsibility at school. the environmental responsibility project at the school has as target audience elementary school students, who will benefit from environmental education actions, selective collection and school garden.",waste management
energy efficiency,no design,energy efficiency. no design,energy efficiency
urban drainage,"urban drainage is an umbrella project that encompasses (sub) projects that articulate with each other, having:a. reservoir construction projects;b. bridge expansion projects; ec. projects to review structures and constructions of new verters. the growth of urbanization without proper planning results in changes in hydrological processes, such as increased surface runoff and decreased natural capacity for soil retention and infiltration (doubleday et al., 2013; marchioni; becciu, 2014; elga et al., 2015). this causes several social and environmental impacts, such as the increase in the frequency of floods and the reduction of water availability, because of water contamination (vargas, 1999). these problems result from decentralized actions in the basin and therefore should also be addressed on this scale. ahiablame et al. (2012) point to a growing concern to treat the problem near the source of the flows, in order to reduce and delay the peaks of the flood and also to allow the recharge of the groundwater. in the search to restore the flow conditions as close as possible to the existing before urbanization, compensatory techniques in urban drainage have gained importance. such techniques can be considered more environmentally appropriate urban solutions for rainwater management in urbanized areas aimed at reducing the impact of increased waterproofing on flood hydrograms (roy et al., 2008).","urban drainage. urban drainage is an umbrella project that encompasses (sub) projects that articulate with each other, having:a. reservoir construction projects;b. bridge expansion projects; ec. projects to review structures and constructions of new verters. the growth of urbanization without proper planning results in changes in hydrological processes, such as increased surface runoff and decreased natural capacity for soil retention and infiltration (doubleday et al., 2013; marchioni; becciu, 2014; elga et al., 2015). this causes several social and environmental impacts, such as the increase in the frequency of floods and the reduction of water availability, because of water contamination (vargas, 1999). these problems result from decentralized actions in the basin and therefore should also be addressed on this scale. ahiablame et al. (2012) point to a growing concern to treat the problem near the source of the flows, in order to reduce and delay the peaks of the flood and also to allow the recharge of the groundwater. in the search to restore the flow conditions as close as possible to the existing before urbanization, compensatory techniques in urban drainage have gained importance. such techniques can be considered more environmentally appropriate urban solutions for rainwater management in urbanized areas aimed at reducing the impact of increased waterproofing on flood hydrograms (roy et al., 2008).",water management
take a park,"adopting a protected space whether in relation to its maintenance, signage or even, by offering educational materials, the company or entity, gains publicity in the space in the events of the city hall.","take a park. adopting a protected space whether in relation to its maintenance, signage or even, by offering educational materials, the company or entity, gains publicity in the space in the events of the city hall.",public and green spaces
our green space,"it is the revitalization of green areas of housing projects that were degraded and that the city hall brings equipment of outdoor gyms, playgrounds and afforestation and q companies can adopt in the same way they would act in conservation units and municipal parks of use with m","our green space. it is the revitalization of green areas of housing projects that were degraded and that the city hall brings equipment of outdoor gyms, playgrounds and afforestation and q companies can adopt in the same way they would act in conservation units and municipal parks of use with m",public and green spaces
led street lighting,"led bulbs are more efficient, last much longer and consume less energy. over the years, this mathematics becomes very favorable to the municipality. in all, the capital of amazonas already has 120,000 led lighting points, which represents almost 99% of public lighting.","led street lighting. led bulbs are more efficient, last much longer and consume less energy. over the years, this mathematics becomes very favorable to the municipality. in all, the capital of amazonas already has 120,000 led lighting points, which represents almost 99% of public lighting.",energy efficiency
water availability for reuse,"this is a large and continuous project for ""non-human"" consumption of reuse water, coming from sewage treatment plants (ete) for internal cleaning and irrigation of gardens, in addition to municipal squares and gardens; availability to the municipality for use in works, in addition to cleaning streets and etc. annual estimate of 13,200,000 (thirteen million and two hundred thousand) liters of reuse water, consumed in place of the drinking water that is preserved. the project has no direct cost to the concessionaire.","water availability for reuse. this is a large and continuous project for ""non-human"" consumption of reuse water, coming from sewage treatment plants (ete) for internal cleaning and irrigation of gardens, in addition to municipal squares and gardens; availability to the municipality for use in works, in addition to cleaning streets and etc. annual estimate of 13,200,000 (thirteen million and two hundred thousand) liters of reuse water, consumed in place of the drinking water that is preserved. the project has no direct cost to the concessionaire.",water management
water of valor program,"this is a broad and continuous program that aims to reduce the loss of drinking water in all stages of distribution carried out by the concessionaire, through the adoption of procedures, professional training, high investment in new technologies, highlighting the implementation of the operational control center (cco), sectorization of supply with the creation of the measurement and control districts (dmc),  automation and re-registration. average annual investment estimated at r$ 3,500,000.00 (snis).","water of valor program. this is a broad and continuous program that aims to reduce the loss of drinking water in all stages of distribution carried out by the concessionaire, through the adoption of procedures, professional training, high investment in new technologies, highlighting the implementation of the operational control center (cco), sectorization of supply with the creation of the measurement and control districts (dmc),  automation and re-registration. average annual investment estimated at r$ 3,500,000.00 (snis).",water management
collective program,"it is a broad and continuous awareness program for sustainable consumption of material and immaterial resources, carried out for internal employees, outsourced and partners, through the distribution of educational material, awareness campaigns and etc. 3r training (reduce / reuse / recycle), providing in the units the necessary structures for selective collection of the ""dry and wet"" residue; reuse, recycling and/or appropriate final treatment.","collective program. it is a broad and continuous awareness program for sustainable consumption of material and immaterial resources, carried out for internal employees, outsourced and partners, through the distribution of educational material, awareness campaigns and etc. 3r training (reduce / reuse / recycle), providing in the units the necessary structures for selective collection of the ""dry and wet"" residue; reuse, recycling and/or appropriate final treatment.",waste management
