area,title+desc
transport,implementation of the bike path plan. includes road infrastructure (67 km of segregated cycle path and 39 cycle stations) and public bicycle (400)
water management,comprehensive transformation of the swampy stream basin. ongoing consultancy for intervention projects in prioritized areas
water management,improvement of the city&#39;s drinking water supply system. improvement of drinking water supply systems and construction of reservoirs
water management,construction of reservoirs. construction of san josé and picacho reservoirs improvement of los laureles reservoir
water management,"decree of the cerro del aguila as a protected natural area. it is currently an agreement approved by the city council, since june 1, 2016, through which the commitment of h. morelia city council, to develop and operate the municipal resilience strategy and install a resilience unit as part of the municipal public administration, in accordance with the sustainable development goals agreed for 2030 by the community of united nations, specifically goal 11, which indicates the achievement that cities and settlements are inclusive, safe, resilient and sustainable and, among its goals, said objective establishes that by 2020 it is intended to substantially increase the number of cities and human settlements that adopt and implement integrated policies and plans to promote inclusiveness, resource efficiency, climate change mitigation and adaptation, and disaster resilience, and develop and implement, in line with the sendai framework for climate reduction of disaster risk 2015-2030, the comprehensive management of disaster risks at all levels. the commitment it is also in accordance with the world charter of the right to the city, which, although not mandatory, indicates international agreements and consensus on this particular topic. in addition, the rockefeller foundation&#39;s 100 resilient cities program provides direct funding for the hiring of a top-level municipal official as executive director of resilience, financial and logistics advice for the collaboration of a comprehensive resilience strategy and access to a service platform with international organizations from the private sector and civil society organizations. with this commitment it seeks to integrate the resilience criterion into the planning processes coordinated by the municipal planning institute of morelia, being an integral part of the municipal planning system and its instruments, in such a way that it can be operated transversally through the different agencies and entities. of the municipal public administration. mulation and implementation of the resilience strategy will be carried out with the participation of citizens and following the principles of open government. the government effectiveness and innovation secretariat will promote and coordinate the incorporation of the municipal resilience strategy in actions as criteria for prioritize public investment"
water management,"payments for environmental services. payments for environmental services in the ejidos of coapa, san nicolas obispo and joyas la huerta for the protection of 500 ha"
waste management,"cerro de la campana bio-cultural park. a public initiative to regenerate the deforested area of “cerro de la campana” hill with xerophile flora (resilient to arid climate) to function as a carbon sink and water damping. this development includes the establishment of a “circular economy centre”, a pilot program in which the species of flora will be employed to produce goods (such as food), composting (to maintain the forest) and ethnobotanical products for bio-cultural preservation. this park also contemplates establishing a low-emission zone, a high mobility network and social engagement attractions (such as an extreme sports facility, trekking and cafés).all of the costs presented are an estimate, the final figures might differ"
water management,"diagnosis and recovery plan of the urban lagoons of conception. the objective of the study was to carry out a complete and comprehensive diagnosis of the five urban lagoons of the city of concepción (laguna redonda, las tres pascualas, lo galindo, lo méndez and lo custodio) regarding limnological parameters, water quality, sediments, flora , fauna and a rising of social perception. based on the diagnosis made, a recovery plan was prepared for each lagoon. the study determined that the main problem presented by all the lagoons lies in the excessive load of nutrients (nitrogen and phosphorous), which reach the lagoon through rainwater channels that directly or indirectly contribute to them. recovery plan project profiles for each conception lagoon"
energy efficiency / retrofit,energy efficiency in municipal public buildings. potential energy savings: develop an energy saving project that replaces existing high-consumption luminaires in the municipality of cuernavaca to contribute to actions that lead to an economically viable reduction in the amount of energy necessary to meet the energy needs of the services and goods required by society (unfinished)
buildings,"metropolitan linear park. via verde is located on line &quot;c&quot; of the ffcc méxico-balsas section 111-110; it is a very complex and ambitious urban, ecological and social rescue project that transcends the issues of urban development and sustainability as it is considered urban planning applied to reality, using the existing free area. population benefited: 22 neighborhoods and 3 historic towns. from the northern part of the city. beneficiaries (approx. 13,000 inhabitants) this project will directly contribute to: avoid invasion and creation of more irregular settlements and garbage dumps on this important federal zone. relieve one of the most congested avenues in the city, which allows the reduction of the emission of polluting gases produced by automobiles"
waste management,"“mejoramiento y ampliación del servicio de limpieza pública en los distritos de arequipa, alto selva alegre, cayma, cerro colorado, characato, jacobo hunter, josé luis bustamante y rivero, la joya, mariano melgar, miraflores, paucarpata, sabandia, sachaca, socabaya, tiabaya, uchumayo, yanahuara y yura, provincia de arequipa, departamento de arequipa”. accessibility and improvement of solid waste collection infrastructure responds to the problem of poor service in the treatment of solid waste that has increased in parallel with the growth of population and urbanization of the city"
waste management,"installation of tire shredding plant. as a permanent solution measure for the final disposal of used tires in tampico, it is necessary to purchase and install a tire recycling line, which is made up of a series of equipment that has the necessary conditions to separate and grind the various components. that make up a commercial tire"
waste management,"rosario dry biodigestion plant. the municipality of rosario has an ambitious comprehensive waste management plan that, although it is dynamic over the years since its creation in 2003 to date, the spirit is always the same: minimize waste generation, reduce the waste sent to final disposal through different treatment according to each flow of material, among other purposes. the process of the organic fraction is necessary to take if it is intended to reduce the final disposal. this fraction is around 40/50% of the generation of household solid waste, for this reason, the municipality has had a composting plant for more than 7 years. the technical teams of the secretariat for the environment and public space developed this project for a dry biodigestion plant with the purpose of increasing the amount of recovered waste with more advanced and innovative technologies, continuing with the use of the dry fraction (recyclable materials), with the added value of generating electricity"
waste recycling,"rosario circulates: strengthening the circular economy with social and labor inclusion of urban recuperators in rosario (argentina)”. the creation of a comprehensive program to address this group is planned, formalizing their work, improving working conditions with equipment and training, dignifying their income with the purchase of their products and services at a fair price, and thus promoting greater separation into commercial generators. . the project is called &quot;rosario circulates: strengthening the circular economy with social and labor inclusion of urban recyclers in rosario, argentina&quot;. it is about improving the income of urban recyclers and their living conditions, accompanying them with comprehensive social policies, in which the municipality will play a strategic role in the marketing chain of materials. it aims to recognize the work of the collectors and promote individual formalization. it should be noted that, based on data from the municipal waste management system, it is estimated that they could increase their income by 30%, if it is the municipality that buys the materials collected. the project comprises four components, complementary and of simultaneous temporary implementation. these components will be permanently monitored through a matrix of indicators that will allow collecting the degree of progress, the concrete results, the effects generated, the fulfillment of the goals and the perception of the benefits. it is structured as follows: -installation of comprehensive centers for urban recovery vehicles: to be developed in the short term, the implementation of 3 centers with the necessary structure and equipment for the storage of recovery vehicles, their rest and comprehensive boarding. it is expected that the collection of waste materials on public roads will have been eliminated within three years.- comprehensive approach process for urban reclaimers: regularization of urban reclaimers within a period of 6 months through a registry of reclaimers . in three years, it is expected that at least 75% of the recoverers will be approached, from socio-sanitary, labor, training, and tax and pension registration aspects.- marketing development: within a period of 6 months, the establishment is expected commercial guidelines with recuperators in order to increase their economic income by at least 30%. in three years, the processing of around 150% more tons of recyclable materials is projected, thus allowing the financial sustainability of the project.- link with society: in a short time, the development of a computer tool is proposed. within a period of three years, it is planned to carry out awareness campaigns (public dissemination, participatory workshops, traditional press, social media, etc.), sectoral agreements with businesses and small and medium-sized companies, thus reaching 100% of the population through some communication strategy. it is important to note that this project is framed within the strategic planning processes oriented towards the design and implementation of urban management policies and processes towards more sustainable models, with citizen participation, cohesion and social responsibility. the city is committed to strengthening the circular economy with sustainable waste management in order to encourage waste to be reused as resources and enter the production system, with the goal of recycling all that is generated, as attested by the commitments proposed in the rosario 2030 local climate action plan. likewise, this initiative converges with the strategic lines of quality of life and management of social and environmental policies included in the rosario 2030 strategic plan, and in the axis of action of urban solid waste and its strategic project of urban recuperators of the rosario environmental plan (par). https://www.rosarionoticias.gob.ar/page/noticias/id/310889/title/rosario-es-finalista-del-2021-global-mayors -challenge-of-bloomberg-philanthropies"
water management,"storm drainage master plan. the storm drainage master plan is developed with the purpose of finding an adequate storm drainage system to minimize, correct and avoid the harmful effects of rain in the basins that make up the territory of the cartagena district. to date, one has been intervened of the pluvial channels of the city. currently, there are 8 channels that have detailed engineering and budget. as for the remaining 18 channels, the designs must be carried out to obtain plans and construction budgets for the development of infrastructure works."
water management,"integral recovery project of the environmental conditions of the juan angola channel. the project seeks i) recovery of space and relocation of homes, ii) recovery of mangrove cover, iii) construction of a public space interface zone, iv) reformulation and construction of the new road system, v) design and construction of urban environmental axes in the six sectors of the channel"
transport,"district cycle infrastructure system phase i. cartagena de indias has the potential to be a cycle-inclusive city due to its topographic characteristics, the satisfaction of bicycle users as a means of transport and its outstanding recognition as an international tourist destination. however, due to political-administrative circumstances, the use of the bicycle has not been reflected as an alternative to the usual modes of transport and for this reason only between 1 and 2% of cartagena residents use the bicycle mainly as a mode of transportation. transportation to get around your usual activities. at present, the bicycle infrastructure network of the city of cartagena has low connectivity and important deficiencies in terms of protection for bicyclists and citizens who decide to use the bicycle as a means of transport. a positive impact is expected in the implementation of a district bike path system. benefits that can be summarized in the following: • urban renewal through the recomposition of the road network. • savings in transport travel times for citizens. • savings in economic costs associated with transport in citizens. • the increase in number of bike users in the cartagena district. •increase the number of routes in sustainable means of transport in the city that contribute to the reduction of ghg greenhouse gases. •the creation of new businesses in the vicinity of the bicycle infrastructure that contribute to the post-2020 economic reactivation, type of offer of goods and services for the sale and maintenance of bicycles.•bicycle use has a positive impact on the health of its users as it reduces the risk of heart problems and obesity, improves metabolism.•implement an infrastructure for travel by bici makes it possible to generate a modal change, that is, it encourages citizens to start using the bicycle as a mode of transport. •ordinance of traffic and reduction of road accidents and accidents since bici-users should not compete for space with vehicles. •guarantee in the public supply of a new mode of transportation in the city. this impact will be seen especially in locations 1 and 3, a historic and northern caribbean location, and an industrial location. of the road network of locality 1, it will represent approximately 16.6 kilometers and of locality 3 approximately 5.5 kilometers. that is to say, it represents an urban renewal in the majority of the territory of the district of cartagena"
transport,"promotion of a fluvial and lake transport system within the framework of a phase i intermodal transport system. the city has been planning a water transportation system in its internal bay-system of pipes and lagoons-ciénaga de la virgen to reduce travel times in the city, while making the operation of the transcaribe mass transportation system more efficient. work has recently been done with the academy, which has developed a prototype of a boat that works with solar energy and is currently under construction. the operation of the system is yet to be defined. the complete project includes the adequacy of the internal bodies of water for the passage of boats. the initial phase that is being worked on has a cost of approximately 3.5 million usd."
transport,"public bicycle system (sbp). facilitate the implementation of an electro-assisted bicycle loan service to promote the urban use of the bicycle in short-distance and duration trips, among previously registered and identified people. monitoring: collect information obtained from the application of the use of the sbp for the follow-up of the data and its future planning according to the profile of the users. provide traceability to the routes of the people who travel by bicycle and who use the bike parks for the development of new infrastructure. transitory law 9660, regulation of the bicycle rental system canton of san jose: establish a regulation for the regulation and implementation of law 9660 in compliance with the transitory ii. expand the cycling infrastructure network for mobilization safe for people in the west-east direction of the current cycle path with the north-south, as well as the points of interest for the promotion of intermodality"
transport,"sidewalk improvement, accessibility promotion, road safety. roadway improvement: adapt the roads of san josé and their elements (widths and quality of the road surface, sidewalk, pipe cord, green stripes, ramps, signage, etc.) to safety, organization and accessibility standards for pedestrian and vehicular traffic. rehabilitation of zones 30: implement a sustainable urban center strategy between the residential, commercial, gastronomic sectors and the community, in the escalante neighborhood for the reconversion of public space. this seeks that the roads have a vehicular speed restriction of 30km/h. improvement of sidewalks and road safety: adapt the roads and their elements (widths and quality of the road surface, sidewalk, pipe cord, green stripes, ramps, signage, etc.) to the safety, organization and accessibility standards of pedestrian and vehicular traffic. (cost: 120,000,000 colones) mobility regulations: update the regulations of the urban master plan for the fulfillment of the objectives of the organization. collaborative work with different departments in multidisciplinary commissions, by theme, experience and specialty"
waste management,"develop a comprehensive management of solid waste with environmental, social and economic criteria, as well as increase their value. (1) strengthening and expansion of selective collection in the canton, accompanied by a communication, education and awareness campaign on waste management. (2) construction and operation of a municipal complex for the storage of valuable waste collected classified. this complex or plant will include operations to provide treatment to separated waste, and will make it possible to provide, in particular, some recovery method for organic waste on a larger scale. funding is pending, so project cost data is not yet available"
transport,"continuity of boulevards. avenida central boulevard extension: extend the central avenue boulevard from 11th street to 19th street to expand pedestrian spaces to improve pedestrian mobility (cost: 950,000,000 colones). 2nd street boulevard: connect central avenue with pacific station for the promotion of pedestrian and cyclist mobility and the economic strengthening of the south of the city (cost not yet defined). inter-institutional coordination: mopt, aya aqueducts and sewers, costa rican electricity institute ice, national power and light company cnfl, commerce, property owners, in relation to the execution and progress of work"
water management,"sustainable urban drainage systems for the great green lung of the city of merida. the project has 4 lines of work. - implementation of 10 suds, - implementation of suds in urban parks and primary roads - environmental education for the use and exploitation of water, and - improve the quality of rainwater that recharges the aquifer two areas were identified for the implementation of the pilot and the executive projects are being carried out for avenues mérida 2000 and 132. technical advice is provided by the world resources institute (wri) mexico. in this line of work, progress has been made from the conceptual idea to the identification of the possible suds to be implemented, the financial sources and mechanism for the operation of the project. state of the financing, there are areas of the city council for the execution of works and maintenance, as well as content image, dissemination and environmental education. each with amounts earmarked for the operation of their functions. for the implementation, a specific amount has been earmarked by the public works department of the city council. for the implementation of the suds in the gran pulmon area, financing and investment mechanisms are being explored with the advice of wri, mexico. at this time, the ordinary amounts already allocated are being used, with the expectation of obtaining extraordinary amounts or including these activities in the following year&#39;s budget. project description this project is based on the identification that &quot;water quality&quot; is our main tension for urban resilience and the planning process of the master plan of the green lung of the western area of the city of mérida. in 2017, the urban resilience profile for the city of mérida was carried out, which identified impacts and tensions that were grouped into 11 priority issues for attention, highlighting the high levels of contamination of the aquifer by anthropogenic activities. in december 2018, the master plan for the great green lung of the city of mérida was carried out, which is made up of 4 axes of urban intervention: public space, sustainable urban mobility, social coexistence and the environment. the environmental axis proposes developing projects for flora, fauna, solid waste, energy efficiency, water, and environmental education. regarding water, the implementation of sustainable urban drainage systems (suds) is proposed, therefore, in april of this year, the suds project for the great green lung began. the objective is to implement sustainable urban drainage systems (suds) such as green ditches, biowater retention areas, rain gardens and permeable floors in urban parks and roads in the area where the &quot;great green lung of the city of mérida&quot;, as part of the actions aimed at urban water management that allow mitigating the impact of urban development on the aquifer and the problems of quantity / quality of urban runoff. the implementation of the suds will have a high environmental and social impact for 56 thousand homes and more than 122,981 inhabitants (14.8% of total pop.), since it is located in one of the areas with the highest population and housing density, which concentrates urban parks with a high ecological, eco-archaeological and archaeo-botanical value. this project will allow rainwater to be collected, infiltrated and purified by bioremediation, mitigating contamination of the aquifer and favoring its recharge naturally. improvements have already begun in small neighborhood parks in the area and the preliminary projects for each intervention have been developed. if implemented successfully, these systems can be developed in the rest of the municipality. it has been estimated that the cost for the implementation of 1 sud would be approximately $3,500. there is no total estimate of the project nor the total cost of the investment."
waste management,"green dots. puntos verdesthe punto verde program is focused on promoting the culture of separation, recycling and the correct disposal of waste, promoting the circular economy in waste management in the municipality of merida. the program is a key element of the actions by the city council in the zero waste strategy. this type of strategy, with its corresponding actions, in addition to contributing to the local improvement of environmental conditions by avoiding the irregular disposal of waste, is integrated into the 2030 agenda and the sustainable development goals (sdgs). until june 2021, 337 tons of waste from citizens had been received at the green points with more than 30,000 users served. 200 green points were installed in the city in conjunction with business partners, associations, public and private institutions"
outdoor lighting,"street lighting. in the municipality of mérida for public lighting, we have a monthly energy consumption of approximately 4,900,000 kwh with sodium vapor lamps, 34% of this consumption is supplied by renewable energy, that is, 1,666,000 by the company geothermal, the rest is supplied by cfe. the department of public services, as part of its commitment to ecology and the reduction of ghg gases, began the gradual replacement of sodium vapor lamps and metallic additives with led-type lamps, which consume around from 40% to 50% less electrical energy and that would have an impact on the reduction of co2 gases by generating energy of 14.44 kg per month per luminaire replaced. with the change of led-type luminaires, we could obtain better lighting at a lower cost and with lower co2 emissions, which makes the use of energy in the field of public lighting for the municipality of mérida more efficient."
energy efficiency / retrofit,"led public lighting. led bulbs are more efficient, last much longer and consume less energy. over the years, this math becomes very favorable to the municipality. in all, the capital of amazonas already has 43,468 led lighting points installed and 11,242 metallic vapor lamps (white light), representing a 41.5% improvement in public lighting in manaus"
waste management,"gas power generation - mdl. capture of methane gas in its sanitary landfill, installed at km 19 of am–010 (road that connects the capital to the municipality of itacoatiara). the estimated electrical potential is 10 megawatts. with the installation of a new generator, it makes the entire operation of the complex self-sufficient and still generates a surplus of 120 kilowatts/hour of clean energy. in addition to energy production, the capture of biogas installed in the complex continues to break down methane gas, 22 times more impactful on the greenhouse effect than carbon dioxide (co²), thus obtaining more carbon credits for the city of manaus"
buildings,"victory nautical park. ordering the development of the productive chain of nautical tourism and amateur fishing, considering the enormous natural vocation of this activity on the part of the municipality of vitória"
waste management,"to define. joão pessoa&#39;s municipal integrated solid waste management plan (pmgirs-jp) includes a specific program for the environmental recovery of the roger landfill. this is the &quot;new roger&quot; program, which aims to provide the roger community with a common area in the space where the old dump used to be. this program includes 3 actions, namely: completing the environmental recovery of the three remaining cells of the roger dump, readjusting the existing project to implement a park or green area, and promoting geotechnical and environmental studies to define the possibilities for undertakings in the old roger dump"
transport,"vlt - light rail vehicle. state government project, via emtu. first phase (santos - são vicente) implemented. second phase (current saints - center saints) in progress. next phases (são vicente - continental area; praia grande and other municipalities in the baixada santista) in studies"
energy efficiency / retrofit,"saltillo lights up the program started in august 2019 and contemplated the replacement of 55,629 luminaires that went from being ceramic metal additives to led technology. public lighting in the city was 100% modernized to led technology. a total of 616 neighborhoods, 559 parks and gardens, and 207 secondary avenues were served. led-type luminaires have important benefits such as the reduction of co2 polluting emissions by up to a 54 percent, energy savings and, therefore, economic. they have a higher quality of light, instant ignition at 100 percent of the capacity, the life time of the led lamps is a minimum of 10 years, that is, three times more those with ceramic metal additives are recyclable and do not pollute the environment, they will represent an energy saving of more than 6.2 million kilowatts per year, with an efficiency greater than 97 percent in public lighting."
waste management,juárez recycles. “juárez recicla” recycling of urban solid waste generated at home
waste management,put the batteries “put your batteries on” collection of alkaline batteries of all sizes distributed in the collection centers in 50 oxxo stores
waste management,"juárez free of tires. &quot;collection, collection and final destination of waste tires&quot; program where the citizens participate in the collection, transfer to the collection center the importers of used tires and in the final destination the municipality of ciudad juárez (ecology department)"
transport,"urban mobility in aracaju. support for projects and actions to improve and expand the road network, encouraging the use of more efficient mass public transport"
waste recycling,echo points. implementation of voluntary delivery points for recyclables (selective collectors distributed in the city); deployment of eco points
outdoor lighting,modernization of public lighting. implementation of lighting in led lamps on public roads in the municipality
water management,"governance of water and territory in the hydric region of the atriz valley. the project seeks to establish a territorial system of water governance in intermediate (pasto) and small (tangua) cities of high mountains in the rhva, which share water sources and need to develop collaborative tools for their water security as a strategy for adapting to change climate, thus achieving sustainable territories, in a context of high climate variability, betting on a post-pandemic green recovery; providing water for everyone and for life. the project has an approximate cost of 1.4 million euros"
energy efficiency / retrofit,"energy efficiency code. the city of monteria is developing the bea program: accelerator of efficiency in buildings in the city of monteria, which seeks to increase efficiency, reduce costs, reduce emissions and the risk of climate change, while improving the quality of life and the economic opportunities of the users; contributing to the elaboration of the energy and water efficiency code, as a mechanism for the implementation of resolution 594 of 2015 of the mvct. the workshop for the construction of the energy efficiency and water saving code was held with the strategic sectors of the city: construction companies , universities, and companies providing electricity and water service. in addition, the energy audit was carried out in the green center, a public administration building, for the development of the pilot that will allow the implementation of a sustainable energy model in the city&#39;s buildings."
water management,"guarantee the representativeness of the ecosystems that make up the main ecological structure of the municipality of manizales, as a sustainable climate action. to contribute to compliance with national guidelines on climate change issues, the manizales mayor&#39;s office began to purchase environmental protection properties; however, the effort had to focus on ecological restoration, which somehow contributed to the reduction of greenhouse gases in the city, among other environmental aspects. due to the above, the search for institutional alliances with actors from the environmental ecosystem of the region began, to combine efforts in the planting of plant species that would work with the ecological structure of the environment. it is there where entities such as emas, chec and corpocaldas appear, who are integrated around the integrated management of forests, water resources and climate change mitigation. ecological restoration provides a wide variety of benefits that guide the recomposition of ecosystem services such as supply, regulation, cultural and support services that largely support the economic development of the municipality: in terms of supply services we have raw materials, fresh water and food, in regulation services we have climate regulation, the quality of the air, carbon sequestration and storage, moderation of extreme weather events, prevention of soil erosion. in cultural services we have nature tourism, aesthetic appreciation and inspiration for culture, art and design. finally, in the support services we have the habitat for species of flora and fauna, as well as the conservation of genetic biodiversity"
transport,"articulated electric buses. integrates as the operating company of the city&#39;s sitp in alliance with energía de pereira, they have put articulated buses into circulation as part of a pilot project. within the new concession it is intended that the vehicle fleet have 30% electric buses"
transport,"mega-cable. project that contributes to sustainable mobility in the city of pereira, involving airlines"
transport,"mega-bike. project led by the mobility institute of pereira, which promotes sustainability in the transport of pereirans, through the use of municipal bicycles and their stations distributed in different parts of the city"
energy efficiency / retrofit,"sun farm. solar farm project in which 5% of the energy demand of the municipality of pereira is generated through solar panels. in the same way, solar systems have been installed in private companies for the consumption of their operations."
water management,"redd+. the project for the mitigation of climate change called the redd+ project in the forests of the otún river basin has the main objective of conserving the region&#39;s native forests by reducing greenhouse gas (ghg) emissions caused by deforestation. while preserving and protecting local biodiversity through inter-institutional conservation efforts. it is located in the southern part of the department of risaralda, in the central mountain range, on the otún river valley, in the municipalities of pereira, santa rosa de cabal and salento, on 17 properties owned by the pereira water and sewage company. sasesp"
outdoor lighting,"change of lights for the execution of these changes, through led systems, the following must be taken into account: • leds are considered the most efficient technological solution, increasing efficiencies and generating energy and maintenance savings and guaranteeing better industrial safety conditions. personnel carrying out field activities. these luminaires must comply with the following basic characteristics: • efficiency measured in lumens per watt (lm/w) must be greater than or equal to 100 lm/w. • energy savings delivered, greater than or equal to 40%, with respect to hid discharge technology, verified by photometric designs endorsed by retilap • must come from a manufacturer recognized worldwide and/or nationally, (that has all the certificates required by retilap and have the respective photometric curves of the luminaires offered), with extensive experience recognized for the execution and implementation (sale and installation) of projects of similar led substitution and in quantities of at least 10,000 units installed in public lighting, which are in operation duly certified by the contracting public entity. • the guarantee will be of at least 10 years, and the failure rate guaranteed by the manufacturer does not may be higher than 1% global annual. see attached, article 2"
waste management,"environmental awareness - environmental watchmen. the environmental watchdog program of the company aseo de pereira sas esp promotes civic culture based on environmental education, sensitizing the pereiran community in the proper management of their waste and separation at the source, to reduce the amount of usable solid waste arriving at the landfill"
waste recycling,"accompaniment to organizations of trade recyclers. accompaniment and advice is provided to the industry of the use of solid waste in the municipality, in the process of formalizing recycling organizations ex officio, its legal constitution and orientation of internal administrative management"
water management,"guangarcucho treatment plant. the guangarcucho wastewater treatment plant will treat the wastewater from the basin with a capacity of 1,200 liters per second (l/s) equivalent to 40% of what is generated in the basin, which consists of a primary sedimentation section with three tanks with three tanks of 35 meters (m) in diameter and four deep, these will be equipped with auxiliary units that will allow the handling of foam and sedimented sludge. it will treat 1,200 liters per second (l/s) and double as hourly maximum flow. this is equivalent to 40% of what is generated in the basin, with a population of 590,000 inhabitants."
renewable energy,"training and fundamental research, in order to generate analysis methodology for the development of a project for a biological mechanical treatment (tmb) installation with integrated fermentation in the city of jundiaí. the i-nopa program (new integrated partnerships), in short, aims at the technical and academic exchange between brazil and germany, in the area of sustainable development, for the promotion of biogas generation technologies from the treatment of urban solid waste, in specifically domestic solid waste. had as one of its projects that of “training and fundamental research, in order to generate analysis methodology for the development of a project for a biological mechanical treatment (tmb) installation with integrated fermentation in the city of jundiaí” with the objective of opening a discussion multidisciplinary integrating several market segments in order to allow the design of tools for the implementation of a sustainable management of urban solid waste. from fermentation, composting, recycling and energy recovery to issues related to planning, execution and operation, as well as customized and sustainable waste management, and also relevant aspects for project implementation such as financing and licensing, always observing trends and challenges of an innovative management. the project t it also provided global knowledge about this new market and also the construction of an interrelationship with the waste sector in the brazil-germany context, establishing an exchange with german institutions that are icons in practices that guarantee climate protection and the preservation of natural resources, providing opportunities for thus a permanent exchange of experiences, through professional and technological education. had the following results: 1. training of the technical staff of the city hall.2. qualitative and quantitative analysis of large generators.3. planning and implementation of a scientific laboratory for the analysis of substrates and by-products.4. gravimetric and granulometric characterization of household and recyclable solid waste.5. development of methodology for analysis of substrates.6. formation of guidelines for the development of the technological concept.7. promotion of pilot plants: biodigestion and composting.8. mapping of the market for disposal of by-products.9. event promotion.10. practicality, long-term sustainability and promotion of innovations.11. transferability.12. promotion of waste recovery techniques.13. dissemination of knowledge through training courses and technical publications.14. intensified international cooperation"
water management,"living water program. the água viva program has the premise of improving the management of water resources in palm trees to promote the best distribution and availability of water for the urban and rural population, with the concern and due care mainly in rural and environmental conservation areas, where the main hydrographic basins and the recharge zones of the water bodies are located. the água viva program is organized with 02 (two) investment components, whose main actions were highlighted in subcomponents for better understanding and evaluation of the execution, being the focus of the actions in the hydrographic microbasins of the springs of the sub-basins that cover the municipality. i: planning and implementation of actions aimed at the recovery, preservation, conservation and monitoring of streams and their respective sources; component ii: identification of streams, springs or water holes in municipal territory, of special interest for environmental protection and those intended for public supply"
buildings,"city + green. this project proposes to intensify tree planting in the city by installing irrigation equipment, improving tree management and maintenance, in addition to strengthening the nossa praça program. city, in order to facilitate the permanent afforestation of the main thoroughfares, reducing maintenance costs for the municipality with labor and tank trucks. this project is essential for reducing temperature and air pollution in the city, in addition to providing greater comfort, health and well-being for the population that routinely travels by petrol line. permanent preservation(app) of the creek do pontal and the weir of the stones, located in the derajada district, municipality of petrolina. the execution of this project involves joint planting of native species, forage species and food species, construction of two seedling nurseries, production of forest, food and forage seedlings, training people to manage the planting areas, for the maintenance of the nurseries and to raise awareness and environmental education of the local population about good practices for using the app through agroforestry systems. the objective of implementing this project is to protect the aforementioned bodies of water and promote sustainable agriculture associated with the conservation of ecosystems, which are so important for water and food security for the population of the semi-arid region."
buildings,"creation of the department for the management and maintenance of urban trees. the project aims to improve the situation of maintenance and care for the trees already planted and established in the city to allow for their proper development and avoid inconvenience to society. the tree must be treated as public equipment that must be properly maintained by the municipality, receiving constant care, such as regular pruning, using correct techniques, phytosanitary treatment, fertilization, etc. adequate choice of species for each planting site in the urban area, also ensuring the diversity of species to be planted, in addition to enjoying the socio-environmental benefits that well-kept trees can bring to citizens. by amma, the costs for setting up a specific department for the management and maintenance of urban trees"
buildings,"implementation of a technological vocational center in agroecology and organic production and establishment of municipal agroecology and organic production policies aimed at ensuring food and nutritional security for the population. the proposed project aims at implementing a technological vocational center (cvt) in agroecology and organic production and the establishment of a municipal policy on agroecology and organic production. with the aim of promoting food and nutritional security for the urban and rural population, following the guidelines of state law n° 17,158 of january 9, 2021 and dapnapo, instituted by decree n° 7,794 of august 2012. the project aims to train and provide technical assistance members of the 21 community gardens distributed throughout the city of petrolina, as well as encouraging and promoting the implementation of new gardens and also the agroecological and organic transition for farmers and fruit growers in the region. thus promoting food and nutritional security, health and well-being of producers and consumers . making the municipality of petrolina a reference in agroecological and organic production in the northeastern semi-arid region"
water management,"+ clean water. linear parks are so named because they form “lines” of green areas in the urban setting along the courses of rivers and streams. these areas help in the preservation and revitalization of urban streams, which are taken over by pollution from domestic sewage. these parks contribute to the interconnection between various areas and neighborhoods of the city, improving urban mobility, providing the emergence of leisure and contemplation areas, improving people&#39;s quality of life and well-being. the creation of these parks transform marginalized areas with health and social problems into pleasant and healthy green areas. the park plays an important role in the climate balance and the air quality of its surroundings, completely urbanized. the proposed interventions are fundamental for reestablishing the ecological potential of urban streams, with improved water quality and reduction of anthropic pressures."
